N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"81,600",100,+0.12%,100,"4,871,343","5,969,783",54.58,"14,835,336",21.24,9.99,
2,SK하이닉스,"132,000","3,000",-2.22%,"5,000","960,963","728,002",50.23,"3,551,819",20.21,9.53,
3,NAVER,"372,000","11,000",-2.87%,100,"611,060","164,263",57.12,"874,259",61.01,15.22,
4,삼성전자우,"74,100",300,+0.41%,100,"609,759","822,887",78.10,"1,633,245",19.29,N/A,
5,LG화학,"799,000","3,000",-0.37%,"5,000","564,033","70,592",44.12,"274,402",122.00,2.93,
6,삼성바이오로직스,"748,000","23,000",+3.17%,"2,500","494,914","66,165",10.23,"82,705",205.38,N/A,
7,현대차,"215,500",0,0.00%,"5,000","460,455","213,668",30.66,"1,173,720",41.90,2.04,
8,삼성SDI,"651,000","4,000",+0.62%,"5,000","447,657","68,765",43.15,"277,504",79.72,4.54,
9,셀트리온,"330,500","16,500",+5.25%,"1,000","446,267","135,028",20.91,"1,771,475",88.92,16.68,
10,카카오,"487,500","7,500",-1.52%,500,"432,640","88,747",33.50,"341,867",274.49,2.70,
11,기아차,"81,000",400,+0.50%,"5,000","328,344","405,363",33.90,"2,489,627",22.07,5.05,
12,POSCO,"327,000","9,000",+2.83%,"5,000","285,101","87,187",53.83,"546,101",17.79,3.61,
13,현대모비스,"284,000",500,+0.18%,"5,000","269,212","94,793",39.68,"290,867",17.66,4.66,
14,LG생활건강,"1,530,000","6,000",+0.39%,"5,000","238,958","15,618",45.59,"25,122",33.99,17.92,
15,LG전자,"140,500","2,500",-1.75%,"5,000","229,925","163,648",30.93,"1,187,532",12.91,13.23,
16,삼성물산,"122,500",500,-0.41%,100,"228,937","186,887",14.91,"401,242",22.40,3.81,
17,KB금융,"53,700",500,+0.94%,"5,000","223,289","415,808",68.76,"1,603,487",6.46,8.53,
18,SK텔레콤,"269,000","5,000",-1.82%,500,"217,206","80,746",37.73,"374,216",14.44,6.44,
19,신한지주,"36,900",350,+0.96%,"5,000","190,625","516,600",59.93,"1,965,243",5.47,8.20,
20,SK이노베이션,"205,000","4,000",-1.91%,"5,000","189,554","92,466",22.61,"463,279",-8.84,-13.58,
21,SK,"268,500","7,000",-2.54%,200,"188,917","70,360",21.33,"372,257",100.56,1.11,
22,엔씨소프트,"834,000","64,000",-7.13%,500,"183,097","21,954",51.03,"266,691",31.17,20.83,
23,아모레퍼시픽,"262,500","4,500",+1.74%,500,"153,454","58,458",33.22,"156,298",515.72,0.78,
24,LG,"88,200","1,000",-1.12%,"5,000","152,195","172,557",35.14,"414,456",10.58,7.50,
25,삼성생명,"75,900","1,300",-1.68%,500,"151,800","200,000",12.77,"420,300",11.99,3.53,
26,한국전력,"23,350",100,+0.43%,"5,000","149,899","641,964",16.61,"1,809,006",7.53,2.91,
27,삼성에스디에스,"187,500","1,000",+0.54%,500,"145,083","77,378",12.23,"110,291",32.72,6.71,
28,삼성전기,"185,000","1,500",-0.80%,"5,000","138,183","74,694",34.89,"312,154",23.77,10.92,
29,하나금융지주,"41,300",550,+1.35%,"5,000","124,000","300,242",68.39,"965,493",4.70,8.96,
